n_neighbors,min_cluster_size,n_topics,n_outliers,coherence_cv,irbo
5,2,190,513,0.6341422617183095,0.9993038161519219
7,2,127,560,0.6122617492607592,0.9989706515800223
10,2,119,485,0.6293197052891023,0.9989197218752791
12,2,40,526,0.6125875125085675,0.9988407772558059
15,2,92,574,0.6168609721316137,0.9987458094119351
18,2,106,635,0.6429806204435508,0.9987132394942495
20,2,114,549,0.6445697751174724,0.9989339843924999
25,2,22,661,0.6693484993738177,0.9989770216533086
30,2,158,654,0.6488260424568265,0.9989561253801569
5,3,105,600,0.5958472773998417,0.9984168303708826
7,3,92,511,0.5931204088528034,0.9981447429660293
10,3,46,548,0.5607996732999069,0.998129981664489
12,3,33,674,0.5955214963633619,0.9984027582859849
15,3,23,631,0.585470264904803,0.9954024010971767
18,3,64,700,0.5556331388413942,0.9976088020839474
20,3,43,584,0.644622089330834,0.9979077892578706
25,3,63,602,0.5926703585263429,0.9983086471817277
30,3,27,664,0.5721488925235375,0.9985255305555962
5,4,34,493,0.572041674345894,0.9980763562130635
7,4,74,587,0.580504058060507,0.9981513952774551
10,4,55,620,0.5596406485955673,0.9977509346535354
12,4,66,704,0.6036767964496268,0.99754309274442
15,4,52,733,0.5808695113131697,0.9977763489193516
18,4,48,831,0.5754453619295146,0.9974389290421353
20,4,46,673,0.6217362473210024,0.9969623321473599
25,4,44,677,0.6050556104899609,0.9972012308684972
30,4,2,0,0.4707108363207244,1.0
5,5,45,512,0.595663302522984,0.9977897960659629
7,5,31,583,0.5966660834358146,0.9964812365647995
10,5,37,718,0.5474149709740814,0.9972030491777992
12,5,50,687,0.5828964555363337,0.9972035563943673
15,5,39,647,0.6008424135639389,0.9969290482801041
18,5,44,689,0.5820691914480866,0.9974159581586144
20,5,43,686,0.6157710687735751,0.9972714899271986
25,5,2,0,0.47071083632072436,1.0
30,5,2,0,0.4707108363207244,1.0
5,10,33,695,0.568212674163891,0.9943834463768038
7,10,25,634,0.5831315334692081,0.9951244719554285
10,10,22,664,0.5843620017505805,0.9953039243138528
12,10,23,611,0.5489544076492181,0.9937782551981931
15,10,2,0,0.45266924307908485,1.0
18,10,2,0,0.47071083632072436,1.0
20,10,3,0,0.6184929159304026,1.0
25,10,2,0,0.47071083632072436,1.0
30,10,2,0,0.4707108363207244,1.0
5,15,4,6,0.5379251947936954,1.0
7,15,2,0,0.45266924307908485,1.0
10,15,2,0,0.47071083632072436,1.0
12,15,4,3,0.5236380612031547,1.0
15,15,2,0,0.45266924307908485,1.0
18,15,3,0,0.5917916686027658,1.0
20,15,3,0,0.6184929159304026,1.0
25,15,3,0,0.6038193974305255,1.0
30,15,2,0,0.4707108363207244,1.0
5,20,3,6,0.6032127433882554,1.0
7,20,3,0,0.5885392248883782,1.0
10,20,2,0,0.47071083632072436,1.0
12,20,2,0,0.45266924307908485,1.0
15,20,2,0,0.45266924307908485,1.0
18,20,2,0,0.47071083632072436,1.0
20,20,3,0,0.6184929159304026,1.0
25,20,3,0,0.6038193974305255,1.0
30,20,2,0,0.4707108363207244,1.0
